Data;Hora UTC;VENTO-DIREÇÃO;VENTO-RAJADA;VENTO
2023/01/01;0000 UTC;77;4.7;1.3
2023/01/01;0100 UTC;90;4.7;1
2023/01/01;0200 UTC;79;5;0.9
2023/01/01;0300 UTC;84;4.8;1
2023/01/01;0400 UTC;52;4.6;1.4
2023/01/01;0500 UTC;59;3.6;0.9
2023/01/01;0600 UTC;52;3.1;0.5
2023/01/01;0700 UTC;67;3.2;0.7
2023/01/01;0800 UTC;88;3.2;0.7
2023/01/01;0900 UTC;92;2.7;0.5
2023/01/01;1000 UTC;115;3.3;0.7
2023/01/01;1100 UTC;130;3.6;0.9
2023/01/01;1200 UTC;144;4.4;1.2
2023/01/01;1300 UTC;145;4.8;1.2
2023/01/01;1400 UTC;160;4.6;1.3
2023/01/01;1500 UTC;175;4.9;1.5
2023/01/01;1600 UTC;144;5.1;1.6
2023/01/01;1700 UTC;155;5.2;1.4
2023/01/01;1800 UTC;151;6.2;1.3
2023/01/01;1900 UTC;146;6.3;1.6
2023/01/01;2000 UTC;144;5;1.5
2023/01/01;2100 UTC;133;5.7;1.1
2023/01/01;2200 UTC;138;5.1;1.1
2023/01/01;2300 UTC;147;5.1;1
2023/01/02;0000 UTC;151;4.9;1.1
2023/01/02;0100 UTC;59;6.1;0.6
2023/01/02;0200 UTC;348;2.6;0.3
2023/01/02;0300 UTC;55;1.3;0.3
2023/01/02;0400 UTC;34;1.2;0.2
2023/01/02;0500 UTC;339;1;0.6
2023/01/02;0600 UTC;321;1.8;0.9
2023/01/02;0700 UTC;246;2.5;0.3
2023/01/02;0800 UTC;242;1.1;0.4
2023/01/02;0900 UTC;222;0.9;0.3
2023/01/02;1000 UTC;7;2.9;0.5
2023/01/02;1100 UTC;346;2.6;0.4
2023/01/02;1200 UTC;206;2.7;0.6
2023/01/02;1300 UTC;40;6.7;2.2
2023/01/02;1400 UTC;42;7.4;1
2023/01/02;1500 UTC;48;6;2.1
2023/01/02;1600 UTC;44;5.6;1.7
2023/01/02;1700 UTC;69;6.3;1.5
2023/01/02;1800 UTC;71;6.3;2
2023/01/02;1900 UTC;83;6.3;1.2
2023/01/02;2000 UTC;59;6.7;1.2
2023/01/02;2100 UTC;60;5.2;1.3
2023/01/02;2200 UTC;68;5.6;1.2
2023/01/02;2300 UTC;62;4.8;1
2023/01/03;0000 UTC;46;4.7;1.2
2023/01/03;0100 UTC;64;3.5;0.5
2023/01/03;0200 UTC;36;5.7;0.9
2023/01/03;0300 UTC;40;4.4;1.2
2023/01/03;0400 UTC;20;6.4;0.7
2023/01/03;0500 UTC;38;4.5;1.3
2023/01/03;0600 UTC;49;4.5;0.6
2023/01/03;0700 UTC;73;4.6;0.7
2023/01/03;0800 UTC;82;4.1;1.3
2023/01/03;0900 UTC;92;4.8;1.2
2023/01/03;1000 UTC;72;4.3;1.3
2023/01/03;1100 UTC;67;4.4;1.2
2023/01/03;1200 UTC;61;4.7;1
2023/01/03;1300 UTC;55;6.3;1.5
2023/01/03;1400 UTC;43;5;1.4
2023/01/03;1500 UTC;48;4.3;1.3
2023/01/03;1600 UTC;72;4.6;1.1
2023/01/03;1700 UTC;292;4.6;0.9
2023/01/03;1800 UTC;55;4.3;1
2023/01/03;1900 UTC;49;4.7;1
2023/01/03;2000 UTC;73;3.8;1
2023/01/03;2100 UTC;69;3.8;0.6
2023/01/03;2200 UTC;67;3;0.8
2023/01/03;2300 UTC;39;2.8;0.7
2023/01/04;0000 UTC;88;1.7;0.4
2023/01/04;0100 UTC;288;1.6;0.4
2023/01/04;0200 UTC;17;2;0.4
2023/01/04;0300 UTC;44;2.8;0.6
2023/01/04;0400 UTC;33;3.1;0.6
2023/01/04;0500 UTC;40;3.8;0.9
2023/01/04;0600 UTC;39;3;0.8
2023/01/04;0700 UTC;360;2.5;0.3
2023/01/04;0800 UTC;305;1.6;0.5
2023/01/04;0900 UTC;42;1.6;0.5
