codigo_a, codigo_b, nome, classe
1012,21,TERM. JD. BRITÂNIA / JD. ROSINHA,Diurno
1012,10,TERM. JD. BRITANIA / JD. MONTE BELO,Diurno
1015,10,TERM. JD. BRITÂNIA / CHÁC. MARIA TRINDADE,Diurno
1016,10,CEM. DO HORTO / SHOP. CENTER NORTE,Diurno
1017,10,PERUS / CONEXÃO VL. IÓRIO,Diurno
1018,10,VL. ROSA / METRÔ SANTANA,Diurno
1019,10,SOL NASCENTE / TERM. PIRITUBA,Diurno
1020,10,PERUS / CONEXÃO VL. IÓRIO ,Diurno
1021,10,COHAB BRASILÂNDIA / TERM. PIRITUBA,Diurno
1023,10,VL. PIRITUBA / CPTM PIRITUBA,Diurno
1024,10,JD. CAROMBÉ / CONEXÃO PETRÔNIO PORTELA,Diurno
1025,10,JD. CAROMBÉ / CONEXÃO PETRÔNIO PORTELA,Diurno
1026,10,VL. IARA / CONEXÃO PETRÔNIO PORTELA,Diurno
1034,10,VL. IARA / CONEXÃO VL. IÓRIO,Diurno
1036,10,COHAB BRASILÂNDIA / CONEXÃO VL. IÓRIO,Diurno
106A,10,METRÔ SANTANA / ITAIM BIBI,Diurno
107T,10,METRÔ TUCURUVI / TERM. PINHEIROS,Diurno
1156,10,VL. SABRINA / PÇA. DO CORREIO,Diurno
1177,31,TERM. A. E. CARVALHO / LUZ,Diurno
1177,10,TERM. A. E. CARVALHO / LUZ,Diurno
1178,42,CONJ. HAB. VL. SÍLVIA / PÇA. DO CORREIO,Diurno
1178,33,PÇA. DO CORREIO / SÃO MIGUEL,Diurno
1178,32,ABEL TAVARES / PÇA. DO CORREIO,Diurno
1178,31,SÃO MIGUEL / PÇA. DO CORREIO,Diurno
1178,10,SÃO MIGUEL / PÇA. DO CORREIO,Diurno
118C,10,JD. PERY ALTO / TERM. AMARAL GURGEL,Diurno
118Y,10,LAUZANE PAULISTA / LAPA,Diurno
119C,10,PQ. EDU CHAVES / TERM. PRINC. ISABEL,Diurno
119L,10,VL. SULINA / TERM. LAPA,Diurno
1206,10,PQ. VL. MARIA / CORREIO,Diurno
121G,10,PQ. NOVO MUNDO / METRÔ TUCURUVI,Diurno
128Y,10,JD. PERY ALTO / LAPA,Diurno
129F,41,CONEXÃO PETRÔNIO PORTELA / PÇA. DO CORREIO,Diurno
129F,10,CONEXÃO PETRÔNIO PORTELA / METRÔ BARRA FUNDA,Diurno
139A,10,VL. IÓRIO / LAPA,Diurno
148L,10,COHAB ANTÁRTICA / LAPA,Diurno
148P,10,PEDRA BRANCA / METRÔ BARRA FUNDA,Diurno
1701,22,JOVA RURAL / METRÔ TUCURUVI,Diurno
1701,21,JOVA RURAL / METRÔ TUCURUVI,Diurno
1701,10,JOVA RURAL / METRÔ SANTANA,Diurno
1702,10,JOVA RURAL / TIETÊ,Diurno
1703,10,JD. FONTÁLIS / SHOP. CENTER NORTE,Diurno
1705,51,CEM. PQ. DA CANTAREIRA / METRÔ TUCURUVI,Diurno
1705,10,JD. SÃO JOÃO / METRÔ TUCURUVI,Diurno
1709,21,JD. JOAMAR / METRÔ TUCURUVI,Diurno
1709,10,JD. JOANA D'ARC / METRÔ TUCURUVI,Diurno
1720,21,VILA SABRINA / METRÔ TUCURUVI,Diurno
1720,10,JD. GUANCÃ / CANTAREIRA,Diurno
1721,10,VL. SABRINA / METRÔ CARANDIRU,Diurno
1722,10,JD. MARINA / METRÔ TUCURUVI,Diurno
1726,10,CEM. PQ. DOS PINHEIROS / METRÔ SANTANA,Diurno
172J,10,JD. BRASIL / TATUAPÉ,Diurno
172K,10,JD. TREMEMBÉ / METRÔ TATUAPÉ,Diurno
172N,10,SHOP. CENTER NORTE / METRÔ BELÉM,Noturno
172P,10,VL. ZILDA / METRÔ BELÉM,Diurno
172R,10,JAÇANÃ / METRÔ BELÉM,Diurno
172U,10,CEM. PQ. DOS PINHEIROS / MOOCA,Diurno
172X,10,PQ. NOVO MUNDO / METRÔ TATUAPÉ,Diurno
172Y,10,VL. CONSTANÇA / METRÔ BELÉM,Diurno
1730,10,CENTER NORTE / METRÔ SANTANA,Diurno
1732,10,VL. SABRINA / TERM. AMARAL GURGEL,Diurno
1738,10,VL. CONSTANÇA / METRÔ SANTANA,Diurno
1741,10,VL. DIONISIA / METRÔ SANTANA,Diurno
1742,10,JD. ANTÁRTICA / METRÔ SANTANA,Diurno
1743,10,JD. PERY ALTO / SHOP. D,Diurno
1744,10,LAUZANE PAULISTA / METRÔ SANTANA,Diurno
1745,10,VL.NOVA CACHOEIRINHA / SHOP. CENTER NORTE,Diurno
174M,10,VL. SABRINA / MUSEU DO IPIRANGA,Diurno
1756,10,PEDRA BRANCA / METRÔ SANTANA,Diurno
1757,10,CONJ. DOS BANCÁRIOS / METRÔ SANTANA ,Diurno
1758,10,JD. ANTÁRTICA / METRÔ SANTANA,Diurno
1759,10,JD. PERY / METRÔ SANTANA,Diurno
175P,10,METRÔ SANTANA / ANA ROSA,Diurno
175T,10,METRÔ SANTANA / METRÔ JABAQUARA,Diurno
1760,10,COHAB ANTÁRTICA / SHOP. CENTER NORTE,Diurno
1764,10,JD. CORISCO / METRÔ SANTANA,Diurno
1765,10,JD. CABUÇU / METRÔ PARADA INGLESA,Diurno
